start time,region,arch,state,workflow,function 1 runtime (ms),function 2 runtime (ms),function 3 runtime (ms),total runtime (ms)
211210 20,us-east-2,x86,warm,62,,178520,456321,634841
211210 20,us-east-2,x86,warm,63,179071,177473,460627,817171
211210 20,us-east-2,x86,warm,64,179201,175332,399624,754157
211210 20,us-east-2,x86,warm,65,176803,176323,406782,759908
211210 01,us-east-2,x86,warm,66,,179760,400819,580579
211210 01,us-east-2,x86,warm,67,180520,176519,408694,765733
211210 21,us-east-2,x86,warm,68,,175134,417450,592584
211210 21,us-east-2,x86,warm,69,182762,177066,428968,788796
211210 01,us-east-2,x86,warm,70,,176004,408533,584537
211210 01,us-east-2,x86,warm,71,182001,173139,413169,768309
211210 01,us-east-2,x86,warm,72,,181741,421975,603716
211210 22,us-east-2,x86,warm,73,180211,169989,426026,776226
211210 22,us-east-2,x86,warm,74,,178390,415352,593742
211210 01,us-east-2,x86,warm,75,180351,177553,393192,751096
211210 01,us-east-2,x86,warm,76,,177526,383447,560973
211210 01,us-east-2,x86,warm,77,178565,171763,397060,747388
211210 23,us-east-2,x86,warm,78,,180067,368842,548909
211210 23,us-east-2,x86,warm,79,178835,177353,364216,720404
211210 01,us-east-2,x86,warm,80,,175644,356315,531959
211210 01,us-east-2,x86,warm,81,183163,176182,356967,716312
211211 00,us-east-2,x86,warm,82,185214,173870,387189,746273
211211 00,us-east-2,x86,warm,83,182746,178499,380951,742196
211211 00,us-east-2,x86,warm,84,,179436,367910,547346
211211 01,us-east-2,x86,warm,85,182190,177537,386855,746582
211211 01,us-east-2,x86,warm,86,,175004,380926,555930
211211 01,us-east-2,x86,warm,87,178126,170795,374293,723214
211211 01,us-east-2,x86,warm,88,180614,176821,402502,759937
211211 01,us-east-2,x86,warm,89,176683,177244,408583,762510
211211 01,us-east-2,x86,warm,90,,178514,401963,580477
211211 01,us-east-2,x86,warm,91,182360,177084,402019,761463
211211 02,us-east-2,x86,warm,92,,176308,389364,565672
211211 02,us-east-2,x86,warm,93,177492,175040,393561,746093
211211 02,us-east-2,x86,warm,94,,174320,406988,581308
211211 01,us-east-2,x86,warm,95,178148,175848,411216,765212
211211 01,us-east-2,x86,warm,96,,177133,403875,581008
211211 03,us-east-2,x86,warm,97,177773,174744,389509,742026
211211 03,us-east-2,x86,warm,98,,174692,397885,572577
211211 01,us-east-2,x86,warm,99,178767,169709,403234,751710
211211 01,us-east-2,x86,warm,100,,182555,390432,572987
211211 01,us-east-2,x86,warm,101,176545,176361,410558,763464
211211 04,us-east-2,x86,warm,102,,173719,387126,560845
211211 04,us-east-2,x86,warm,103,173923,169895,398944,742762
211211 01,us-east-2,x86,warm,104,,178097,402085,580182
211211 01,us-east-2,x86,warm,105,176330,170994,400336,747660
211211 05,us-east-2,x86,warm,106,180550,173784,393058,747392
211211 05,us-east-2,x86,warm,107,177150,178447,380834,736431
211211 05,us-east-2,x86,warm,108,,177160,392112,569272
211211 01,us-east-2,x86,warm,109,182599,174404,381711,738714
211211 01,us-east-2,x86,warm,110,,175111,383071,558182
211211 06,us-east-2,x86,warm,111,178483,174618,388194,741295
211211 06,us-east-2,x86,warm,112,,177417,373721,551138
211211 06,us-east-2,x86,warm,113,177565,172560,368913,719038
211211 01,us-east-2,x86,warm,114,,178443,369162,547605
211211 01,us-east-2,x86,warm,115,183076,174729,388433,746238
211211 07,us-east-2,x86,warm,116,180044,173184,387368,740596
211211 07,us-east-2,x86,warm,117,,175053,378507,553560
211211 07,us-east-2,x86,warm,118,174813,175055,365438,715306
211211 01,us-east-2,x86,warm,119,,175239,376701,551940
211211 01,us-east-2,x86,warm,120,176194,176775,387040,740009
211211 08,us-east-2,x86,warm,121,,179795,454707,634502
211211 08,us-east-2,x86,warm,122,183029,179796,460346,823171
211211 01,us-east-2,x86,warm,123,,181086,406440,587526
211211 01,us-east-2,x86,warm,124,181682,179571,395234,756487
211211 01,us-east-2,x86,warm,125,,176444,451495,627939
211211 09,us-east-2,x86,warm,126,180838,176815,469434,827087
211211 09,us-east-2,x86,warm,127,,175939,453081,629020
211211 01,us-east-2,x86,warm,128,185202,178436,490468,854106
211211 01,us-east-2,x86,warm,129,,176479,481137,657616
211211 10,us-east-2,x86,warm,130,178605,176781,468746,824132
211211 10,us-east-2,x86,warm,131,,177256,444383,621639
211211 11,us-east-2,x86,warm,132,181182,177134,429361,787677
211211 11,us-east-2,x86,warm,133,181530,182417,459242,823189
211211 11,us-east-2,x86,warm,134,,175059,450831,625890
211211 11,us-east-2,x86,warm,135,178808,175921,439222,793951
211211 11,us-east-2,x86,warm,136,,173540,446846,620386
211211 12,us-east-2,x86,warm,137,179102,175617,451436,806155
211211 12,us-east-2,x86,warm,138,,176291,447788,624079
211211 12,us-east-2,x86,warm,139,183250,174915,457808,815973
211211 12,us-east-2,x86,warm,140,183264,176340,426963,786567
211211 13,us-east-2,x86,warm,141,182598,179667,458948,821213
211211 13,us-east-2,x86,warm,142,,183554,495959,679513
211211 13,us-east-2,x86,warm,143,181550,181516,514915,877981
211211 13,us-east-2,x86,warm,144,,178700,453447,632147
211211 14,us-east-2,x86,warm,145,179724,174535,378154,732413
211211 14,us-east-2,x86,warm,146,,176528,385326,561854
211211 14,us-east-2,x86,warm,147,179735,174864,389672,744271
211211 14,us-east-2,x86,warm,148,183757,170631,418522,772910
211211 14,us-east-2,x86,warm,149,,177496,402585,580081
211211 15,us-east-2,x86,warm,150,180361,175845,416350,772556
211211 15,us-east-2,x86,warm,151,,177913,489715,667628
211211 15,us-east-2,x86,warm,152,200778,212762,588206,1001746
211211 15,us-east-2,x86,warm,153,,182769,540896,723665
